x,y,z
371,297,a
372,301,a
373,304,a
374,312,a
375,318,a
376,323,a
377,328,a
378,333,a
378,336,a
378,340,a
378,344,a
378,348,a
378,351,a
378,354,a
378,357,a
378,360,a
378,362,a
378,364,a
378,365,a
378,367,a
378,369,a
378,371,a
379,373,a
379,375,a
379,378,a
379,381,a
379,384,a
379,386,a
379,388,a
379,389,a
380,389,a
380,386,a
380,382,a
380,380,a
380,377,a
380,373,a
380,368,a
380,363,a
380,359,a
380,355,a
380,349,a
380,347,a
380,345,a
380,341,a
380,336,a
380,333,a
380,329,a
379,325,a
379,321,a
378,316,a
378,312,a
378,309,a
378,306,a
378,305,a
378,303,a
378,300,a
378,297,a
378,294,a
378,291,a
378,288,a
378,286,a
378,284,a
378,281,a
379,279,a
379,277,a
379,276,a
379,275,a
379,274,a
379,273,a
379,272,a
378,273,a
439,326,a
437,326,a
435,326,a
429,326,a
421,326,a
417,326,a
415,325,a
413,324,a
412,321,a
410,318,a
409,315,a
408,312,a
407,307,a
407,302,a
406,294,a
406,290,a
406,286,a
406,282,a
406,278,a
407,276,a
407,274,a
407,271,a
408,268,a
409,267,a
411,265,a
413,264,a
417,263,a
420,263,a
425,264,a
427,265,a
429,267,a
432,270,a
434,272,a
435,275,a
436,278,a
438,281,a
440,282,a
442,286,a
443,287,a
446,293,a
446,296,a
446,298,a
447,301,a
448,304,a
448,307,a
448,310,a
448,312,a
447,314,a
447,316,a
446,316,a
446,317,a
446,318,a
446,320,a
445,321,a
444,322,a
444,323,a
443,324,a
443,325,a
443,326,a
442,326,a
442,325,a
443,324,a
443,322,a
446,317,a
446,316,a
447,313,a
448,310,a
448,307,a
449,304,a
450,302,a
450,299,a
452,297,a
453,295,a
453,294,a
454,291,a
455,289,a
456,288,a
456,286,a
457,285,a
458,285,a
458,284,a
458,283,a
459,283,a
460,283,a
460,282,a
461,282,a
461,281,a
461,280,a
462,279,a
463,278,a
464,277,a
464,276,a
464,275,a
465,274,a
465,272,a
465,271,a
466,270,a
467,269,a
467,268,a
467,267,a
468,266,a
468,265,a
468,264,a
468,263,a
466,263,a
465,263,a
546,332,a
545,332,a
542,333,a
536,334,a
532,334,a
527,333,a
524,332,a
520,329,a
516,326,a
513,323,a
509,318,a
505,314,a
503,311,a
501,309,a
499,303,a
497,297,a
495,291,a
495,287,a
495,285,a
495,281,a
497,275,a
497,274,a
499,273,a
500,272,a
502,272,a
504,272,a
509,272,a
517,277,a
520,281,a
523,285,a
525,289,a
529,297,a
531,303,a
532,309,a
533,311,a
534,316,a
537,331,a
538,339,a
538,344,a
538,346,a
538,349,a
538,351,a
538,356,a
538,363,a
