x,y,z
516,411,a
515,411,a
515,409,a
515,408,a
515,407,a
107,422,a
107,421,a
107,420,a
107,419,a
107,418,a
107,417,a
274,349,a
274,347,a
274,346,a
274,345,a
275,344,a
275,343,a
275,341,a
275,339,a
275,338,a
275,337,a
275,336,a
276,336,a
276,335,a
276,334,a
276,332,a
276,331,a
276,330,a
276,328,a
276,326,a
276,325,a
276,322,a
276,320,a
276,318,a
276,316,a
276,313,a
276,311,a
277,309,a
277,307,a
277,306,a
277,305,a
277,304,a
277,303,a
240,295,a
240,296,a
240,297,a
240,298,a
240,299,a
240,301,a
240,302,a
241,305,a
241,306,a
241,309,a
242,312,a
244,316,a
246,317,a
247,318,a
250,321,a
253,322,a
255,323,a
258,324,a
259,324,a
261,324,a
264,325,a
266,325,a
268,326,a
268,327,a
269,328,a
270,328,a
272,328,a
273,328,a
274,328,a
276,329,a
277,329,a
278,329,a
279,329,a
279,330,a
309,377,a
310,375,a
311,373,a
311,372,a
311,371,a
311,370,a
312,369,a
